               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10421,            0.038372,            0.037971,           0.0032558,             0.34946,           0.0031359,          0.00059903,            0.095661,            0.032253,            0.037285,           0.0033092,           0.0033092,            0.070217
                   1,            0.093526,            0.043535,            0.036014,           0.0065521,             0.10457,           0.0036246,            0.000736,            0.086093,            0.035124,             0.03545,            0.006511,            0.006511,            0.040086
                   2,            0.086699,            0.044151,            0.031751,             0.35721,            0.059991,            0.010118,            0.002009,            0.084751,            0.034346,            0.030422,           0.0095808,           0.0095808,           0.0098223
                   3,            0.081146,            0.045041,            0.027953,             0.50698,             0.20553,             0.13436,            0.031847,            0.074233,            0.033165,            0.022535,            0.009406,            0.009406,            0.009406
                   4,            0.075345,            0.044278,            0.023854,             0.54899,             0.23502,             0.18894,            0.053738,            0.070695,            0.032791,             0.02091,            0.009406,            0.009406,            0.009406
                   5,            0.071865,            0.043759,            0.020706,             0.66275,             0.30764,             0.30431,             0.10369,            0.065514,            0.030878,            0.015311,            0.009208,            0.009208,            0.009208
                   6,            0.067877,            0.042481,            0.018467,             0.45966,             0.32723,             0.31903,             0.11269,            0.063553,            0.030843,            0.015237,             0.00901,             0.00901,             0.00901
                   7,              0.0658,            0.041929,            0.017045,             0.38054,             0.40118,             0.36318,             0.13478,            0.062861,            0.029729,              0.0126,            0.008812,            0.008812,            0.008812
                   8,            0.063568,            0.040833,            0.015717,             0.44997,             0.46077,             0.43564,             0.17027,            0.059007,            0.028626,            0.010507,            0.008614,            0.008614,            0.008614
                   9,            0.061397,            0.039962,             0.01559,             0.57973,             0.49638,             0.50444,             0.19709,            0.055856,            0.028059,           0.0098735,            0.008416,            0.008416,            0.008416
                  10,            0.060023,            0.040833,            0.014302,              0.5355,             0.47763,             0.48175,             0.18757,            0.056021,            0.028407,           0.0091673,            0.008218,            0.008218,            0.008218
                  11,            0.058654,            0.039096,            0.013533,             0.60563,             0.51305,             0.51953,              0.2131,            0.053629,            0.027754,           0.0089554,             0.00802,             0.00802,             0.00802
                  12,            0.057566,            0.039353,            0.013096,             0.65772,             0.52162,             0.55493,             0.22247,            0.053016,            0.027516,           0.0081975,            0.007822,            0.007822,            0.007822
                  13,            0.056556,            0.039477,            0.012659,             0.69302,             0.55167,             0.59436,             0.23236,            0.052005,            0.026948,           0.0078239,            0.007624,            0.007624,            0.007624
                  14,            0.055823,            0.038534,            0.011692,             0.71666,             0.53728,             0.58314,             0.23995,             0.05282,            0.026275,           0.0082162,            0.007426,            0.007426,            0.007426
