               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091549,             0.04084,            0.031686,             0.54207,             0.39293,             0.26914,            0.071561,            0.070064,            0.029768,            0.016426,           0.0033092,           0.0033092,            0.070217
                   1,            0.069843,            0.037327,            0.014882,             0.53729,             0.54984,             0.51251,             0.16576,            0.056843,             0.02553,           0.0077688,            0.006511,            0.006511,            0.040086
                   2,            0.063129,            0.034509,            0.011422,             0.44378,             0.58058,             0.49732,             0.15557,             0.05751,            0.025504,           0.0073498,           0.0095808,           0.0095808,           0.0098223
                   3,            0.055958,             0.03452,           0.0098897,             0.67054,             0.66455,             0.65831,             0.27141,            0.048311,             0.02487,           0.0065501,            0.009406,            0.009406,            0.009406
                   4,            0.052615,            0.035039,           0.0092184,             0.78373,             0.68674,              0.7253,             0.31109,            0.047549,            0.024158,           0.0057761,            0.009406,            0.009406,            0.009406
                   5,            0.049721,            0.033781,           0.0089128,             0.79855,             0.66072,             0.70299,             0.30467,            0.046826,             0.02366,           0.0058964,            0.009208,            0.009208,            0.009208
                   6,            0.048151,            0.034063,           0.0076568,             0.83682,             0.71978,             0.77217,             0.35813,            0.043349,            0.023219,           0.0052792,             0.00901,             0.00901,             0.00901
                   7,            0.046711,            0.033216,           0.0071199,              0.7951,             0.71334,             0.74527,             0.33917,            0.045568,             0.02329,           0.0049784,            0.008812,            0.008812,            0.008812
                   8,            0.045668,            0.032163,           0.0070016,             0.81866,             0.72132,             0.75825,             0.34206,            0.043717,             0.02334,           0.0050325,            0.008614,            0.008614,            0.008614
                   9,            0.045248,            0.031802,           0.0067291,             0.84677,             0.72702,             0.78124,             0.36889,            0.042864,            0.022774,           0.0049835,            0.008416,            0.008416,            0.008416
                  10,            0.044448,            0.032317,           0.0066906,             0.83881,             0.72529,             0.77126,                0.37,            0.042259,            0.022998,           0.0047422,            0.008218,            0.008218,            0.008218
                  11,            0.043975,            0.031608,           0.0064978,             0.82172,             0.75255,             0.78374,             0.37408,            0.042287,            0.023048,           0.0049969,             0.00802,             0.00802,             0.00802
                  12,            0.043534,            0.032078,           0.0061815,             0.86032,             0.74251,             0.79798,             0.38448,            0.041747,            0.022816,           0.0048011,            0.007822,            0.007822,            0.007822
                  13,            0.042839,            0.031361,           0.0060231,             0.83842,             0.74216,             0.78514,              0.3797,            0.042545,            0.022743,           0.0045341,            0.007624,            0.007624,            0.007624
                  14,            0.042697,             0.03079,           0.0057791,              0.8388,              0.7476,             0.78881,             0.37994,            0.042014,            0.022674,           0.0041803,            0.007426,            0.007426,            0.007426
                  15,            0.041649,            0.030233,             0.00563,             0.82866,             0.76806,             0.79537,             0.38636,             0.04169,            0.022695,            0.004313,            0.007228,            0.007228,            0.007228
                  16,            0.042135,            0.030145,            0.005532,             0.86879,             0.75687,             0.80299,             0.40295,            0.041375,            0.022271,           0.0041472,             0.00703,             0.00703,             0.00703
                  17,            0.041528,            0.030344,           0.0054625,             0.82857,             0.76491,             0.80174,             0.39458,             0.04101,            0.022722,           0.0043478,            0.006832,            0.006832,            0.006832
                  18,            0.040623,            0.029623,           0.0049913,             0.87055,             0.75015,             0.80548,              0.3931,            0.041303,            0.022256,           0.0044557,            0.006634,            0.006634,            0.006634
                  19,            0.040359,            0.030229,           0.0051286,             0.85312,             0.76156,             0.79489,             0.40305,            0.040665,            0.022459,           0.0042149,            0.006436,            0.006436,            0.006436
                  20,            0.039916,            0.029765,           0.0049827,             0.87552,             0.73147,             0.78834,             0.39146,            0.041427,            0.022981,           0.0042698,            0.006238,            0.006238,            0.006238
                  21,            0.039524,            0.029052,            0.004542,             0.87398,             0.76094,             0.80716,             0.40943,            0.040665,            0.022404,           0.0045023,             0.00604,             0.00604,             0.00604
                  22,            0.039428,            0.028887,           0.0046757,               0.868,             0.76295,             0.80345,             0.40475,            0.040978,            0.022488,           0.0043963,            0.005842,            0.005842,            0.005842
                  23,            0.039107,            0.029111,           0.0045972,             0.84836,             0.76682,             0.80102,             0.39956,            0.040691,            0.022586,           0.0042726,            0.005644,            0.005644,            0.005644
                  24,            0.038738,            0.028612,           0.0045074,             0.84459,             0.76751,             0.79905,             0.39912,            0.040982,            0.022929,           0.0041059,            0.005446,            0.005446,            0.005446
                  25,            0.038346,            0.028276,           0.0044778,             0.84641,             0.76178,             0.79862,             0.39484,            0.041226,            0.023108,           0.0042144,            0.005248,            0.005248,            0.005248
                  26,            0.038376,            0.028028,           0.0043947,             0.87698,             0.75747,              0.8006,             0.40684,             0.04052,            0.022661,           0.0046955,             0.00505,             0.00505,             0.00505
                  27,            0.037722,            0.027524,           0.0043627,             0.85237,             0.76787,             0.79627,             0.40263,            0.040854,            0.022968,           0.0043588,            0.004852,            0.004852,            0.004852
                  28,            0.037832,            0.028773,           0.0040539,             0.87285,             0.75545,             0.80165,             0.40479,            0.040567,             0.02297,           0.0042041,            0.004654,            0.004654,            0.004654
                  29,            0.037245,            0.027936,           0.0041788,             0.84866,              0.7714,             0.80028,              0.4125,            0.040115,             0.02292,            0.003966,            0.004456,            0.004456,            0.004456
                  30,            0.036849,            0.027998,           0.0039858,             0.87006,             0.77307,             0.80298,             0.40654,            0.040226,            0.022998,           0.0039732,            0.004258,            0.004258,            0.004258
                  31,             0.03623,            0.026925,           0.0038087,             0.86289,             0.76379,             0.79681,             0.40831,            0.040621,            0.022952,           0.0041188,             0.00406,             0.00406,             0.00406
                  32,            0.036546,            0.026877,           0.0039397,             0.85828,             0.77274,             0.79713,              0.4102,            0.040313,            0.023031,           0.0040573,            0.003862,            0.003862,            0.003862
                  33,            0.036338,            0.027255,           0.0039853,             0.87381,             0.75424,             0.80251,             0.41618,            0.040249,             0.02306,           0.0042311,            0.003664,            0.003664,            0.003664
                  34,             0.03578,             0.02667,           0.0037657,             0.87003,             0.77947,              0.8082,              0.4151,            0.040424,            0.023062,           0.0041815,            0.003466,            0.003466,            0.003466
                  35,            0.035437,             0.02688,           0.0036183,             0.88515,             0.76791,             0.80716,             0.41787,            0.040043,            0.022856,           0.0039776,            0.003268,            0.003268,            0.003268
                  36,            0.035585,            0.026406,            0.003781,             0.87398,             0.76718,             0.79256,             0.41624,            0.040372,            0.023089,           0.0041314,             0.00307,             0.00307,             0.00307
                  37,            0.035381,            0.025821,           0.0038112,             0.86523,              0.7725,             0.80185,             0.41635,            0.040391,            0.023036,           0.0042204,            0.002872,            0.002872,            0.002872
                  38,             0.03472,            0.026256,           0.0035969,             0.87747,             0.76769,             0.80333,             0.41612,            0.040096,            0.023006,           0.0043944,            0.002674,            0.002674,            0.002674
                  39,            0.034725,            0.025853,           0.0033977,             0.87561,             0.77066,             0.80531,             0.41863,            0.040136,            0.023161,           0.0041669,            0.002476,            0.002476,            0.002476
                  40,             0.03452,            0.026095,           0.0037684,             0.87119,             0.76732,             0.79875,             0.41965,            0.039929,            0.023075,           0.0039165,            0.002278,            0.002278,            0.002278
                  41,            0.034147,            0.025724,           0.0032507,             0.86899,             0.76845,             0.79742,             0.42214,            0.039876,            0.023367,           0.0041869,             0.00208,             0.00208,             0.00208
                  42,            0.033758,            0.025106,           0.0033486,             0.87601,             0.77495,             0.80734,             0.42265,            0.039933,            0.023219,           0.0042105,            0.001882,            0.001882,            0.001882
                  43,            0.033482,            0.025558,           0.0034055,             0.85436,             0.78636,             0.80152,             0.41623,            0.040035,            0.023214,            0.004174,            0.001684,            0.001684,            0.001684
                  44,            0.033599,            0.025234,           0.0033096,             0.84822,             0.79184,             0.80984,              0.4254,            0.039619,            0.023101,           0.0040959,            0.001486,            0.001486,            0.001486
                  45,            0.032979,            0.024618,           0.0030538,             0.87483,             0.77795,             0.81211,             0.42228,             0.03983,             0.02332,           0.0042388,            0.001288,            0.001288,            0.001288
                  46,            0.032959,            0.025209,           0.0029718,             0.87013,             0.77244,             0.80849,             0.42786,            0.039665,            0.023054,           0.0042249,             0.00109,             0.00109,             0.00109
                  47,            0.033119,             0.02524,           0.0030289,              0.8763,             0.76983,             0.80651,             0.42567,             0.03987,            0.023355,           0.0043221,            0.000892,            0.000892,            0.000892
                  48,            0.032876,            0.024821,            0.002927,             0.87691,               0.766,             0.80444,             0.42758,            0.039874,            0.023258,           0.0042936,            0.000694,            0.000694,            0.000694
                  49,            0.032518,            0.024642,           0.0031229,             0.87496,             0.77176,               0.807,             0.42714,            0.039851,            0.023511,            0.004337,            0.000496,            0.000496,            0.000496
